grade,lesson,title,lemma,pos,sid,definition
3上,3,小動物的本事,的,DE,07023408,列舉相類似的事物。
3上,3,小動物的本事,的,DE,07023408,列舉相類似的事物。
3上,3,小動物的本事,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,T,07023408,列舉相類似的事物。
3上,9,可貴的筆記本,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,T,07023408,列舉相類似的事物。
3上,10,十七號菜單──短劇,的,DE,07023408,列舉相類似的事物。
3上,11,萊特兄弟和飛機,的,DE,07023408,列舉相類似的事物。
3上,11,萊特兄弟和飛機,的,DE,07023408,列舉相類似的事物。
3上,11,萊特兄弟和飛機,的,DE,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,DE,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,T,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,DE,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,DE,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,DE,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,DE,07023408,列舉相類似的事物。
3上,13,我會用電腦啦,的,DE,07023408,列舉相類似的事物。
3上,3,小動物的本事,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,9,可貴的筆記本,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,10,十七號菜單──短劇,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,11,萊特兄弟和飛機,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,13,我會用電腦啦,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,13,我會用電腦啦,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,13,我會用電腦啦,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,14,鉛筆的心聲,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,14,鉛筆的心聲,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,14,鉛筆的心聲,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,14,鉛筆的心聲,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,17,媽祖出巡,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,17,媽祖出巡,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,17,媽祖出巡,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,17,媽祖出巡,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,18,姑姑要出嫁,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,18,姑姑要出嫁,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,18,姑姑要出嫁,的,DE,07023401,表一般的修飾關係，用於修飾語和中心語間。
3上,3,小動物的本事,的,DE,09002801,表以前述動作的狀態。
3上,3,小動物的本事,的,DE,09002801,表以前述動作的狀態。
3上,3,小動物的本事,的,DE,09002801,表以前述動作的狀態。
3上,9,可貴的筆記本,的,DE,09002801,表以前述動作的狀態。
3上,9,可貴的筆記本,的,DE,09002801,表以前述動作的狀態。
3上,9,可貴的筆記本,的,DE,09002801,表以前述動作的狀態。
3上,9,可貴的筆記本,的,DE,09002801,表以前述動作的狀態。
3上,10,十七號菜單──短劇,的,DE,09002801,表以前述動作的狀態。
3上,11,萊特兄弟和飛機,的,DE,09002801,表以前述動作的狀態。
3上,11,萊特兄弟和飛機,的,DE,09002801,表以前述動作的狀態。
3上,11,萊特兄弟和飛機,的,DE,09002801,表以前述動作的狀態。
3上,11,萊特兄弟和飛機,的,DE,09002801,表以前述動作的狀態。
3上,11,萊特兄弟和飛機,的,DE,09002801,表以前述動作的狀態。
3上,11,萊特兄弟和飛機,的,DE,09002801,表以前述動作的狀態。
3上,13,我會用電腦啦,的,DE,09002801,表以前述動作的狀態。
3上,13,我會用電腦啦,的,DE,09002801,表以前述動作的狀態。
3上,13,我會用電腦啦,的,DE,09002801,表以前述動作的狀態。
3上,13,我會用電腦啦,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,14,鉛筆的心聲,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,17,媽祖出巡,的,DE,09002801,表以前述動作的狀態。
3上,3,小動物的本事,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,9,可貴的筆記本,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,13,我會用電腦啦,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,14,鉛筆的心聲,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,17,媽祖出巡,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,17,媽祖出巡,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,17,媽祖出巡,的,DE,07023403,表使謂語具名詞性，用於主語和謂語間。
3上,3,小動物的本事,的,DE,07023406,表在前述情況下。
3上,3,小動物的本事,的,T,07023406,表在前述情況下。
3上,3,小動物的本事,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,9,可貴的筆記本,的,DE,07023406,表在前述情況下。
3上,10,十七號菜單──短劇,的,DE,07023406,表在前述情況下。
3上,11,萊特兄弟和飛機,的,DE,07023406,表在前述情況下。
3上,13,我會用電腦啦,的,DE,07023406,表在前述情況下。
3上,14,鉛筆的心聲,的,DE,07023406,表在前述情況下。
3上,14,鉛筆的心聲,的,DE,07023406,表在前述情況下。
3上,17,媽祖出巡,的,DE,07023406,表在前述情況下。
3上,17,媽祖出巡,的,DE,07023406,表在前述情況下。
3上,17,媽祖出巡,的,DE,07023406,表在前述情況下。
3上,17,媽祖出巡,的,DE,07023406,表在前述情況下。
3上,18,姑姑要出嫁,的,DE,07023406,表在前述情況下。
3上,3,小動物的本事,的,DE,07023407,表肯定或加強的語氣。
3上,9,可貴的筆記本,的,DE,07023407,表肯定或加強的語氣。
3上,9,可貴的筆記本,的,DE,07023407,表肯定或加強的語氣。
3上,9,可貴的筆記本,的,DE,07023407,表肯定或加強的語氣。
3上,9,可貴的筆記本,的,DE,07023407,表肯定或加強的語氣。
3上,10,十七號菜單──短劇,的,T,07023407,表肯定或加強的語氣。
3上,10,十七號菜單──短劇,的,DE,07023407,表肯定或加強的語氣。
3上,11,萊特兄弟和飛機,的,DE,07023407,表肯定或加強的語氣。
3上,13,我會用電腦啦,的,DE,07023407,表肯定或加強的語氣。
3上,14,鉛筆的心聲,的,T,07023407,表肯定或加強的語氣。
3上,14,鉛筆的心聲,的,T,07023407,表肯定或加強的語氣。
3上,9,可貴的筆記本,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,9,可貴的筆記本,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,9,可貴的筆記本,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,9,可貴的筆記本,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,10,十七號菜單──短劇,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,10,十七號菜單──短劇,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,10,十七號菜單──短劇,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,11,萊特兄弟和飛機,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
3上,13,我會用電腦啦,的,DE,07023402,表領屬關係，用於修飾語和中心語間。
