id,createdAt,forum,gender,title,content,topics,commentCount,likeCount,content_clean
233006165,2020-02-03T04:47:26.058Z,Apple,M,#問題 關於Siri,"https://megapx-assets.dcard.tw/images/45dbac63-d7a7-4a57-a33b-2c4e9d4c92fe/1280.jpeg
請問一下如何刪除這個建議
這隻手機是家人不要用給我用的
爬了很多文章也不知道怎麼刪
又或者是我搜尋的關鍵字有誤..
麻煩各位幫幫忙了","['Apple', '問題', '求救文']",0,3,請問一下如何刪除這個建議這隻手機是家人不要用給我用的爬了很多文章也不知道怎麼刪又或者是我搜尋的關鍵字有誤麻煩各位幫幫忙了
233012413,2020-02-04T02:11:08.007Z,Apple,F,iPhone 11 啊啊啊啊啊啊啊啊😭,"#問題
#求救
#急在線等
#HELP 


本人使用iphone11
今天無論如何都叫不出Siri 
也看了設定，都有開啟Siri 的服務
不知道為什麼就是叫不出來...
而且打字的麥克風也用不了...？

不會是壞掉了吧😭
有神人知道是怎麼回事的嗎？
這邊預祝大家身體健康👌","['手機', 'iPhone']",3,0,問題求救急在線等本人使用今天無論如何都叫不出也看了設定都有開啟的服務不知道為什麼就是叫不出來而且打字的麥克風也用不了不會是壞掉了吧有神人知道是怎麼回事的嗎這邊預祝大家身體健康
232795451,2019-12-31T03:40:36.331Z,Apple,M,Apple 板  Mac 教學文章,"哈囉大家好
我是 Apple 板板主 Macintosh 

有鑑於版友有問題需要協助時無法在 Apple 版找到答案，
想請各位板友提供問題或是想要了解有關 Apple 相關知識
讓板友在遇到問題時可以找到詳細而全面的知識

有需要的板友請直接在這篇文章的回應中填寫即可

目前先徵求 Mac 的相關問題，只要教學文章發表後會立即在這篇文章提供連結。

https://www.dcard.tw/f/all/p/232827227-Macbook-Air%E6%9B%B4%E6%8F%9BSSD%E8%B7%9F%E9%9B%BB%E6%B1%A0","['教學', 'Apple', '問題', 'macOS']",9,13,哈囉大家好我是板板主有鑑於版友有問題需要協助時無法在版找到答案想請各位板友提供問題或是想要了解有關相關知識讓板友在遇到問題時可以找到詳細而全面的知識有需要的板友請直接在這篇文章的回應中填寫即可目前先徵求的相關問題只要教學文章發表後會立即在這篇文章提供連結
233010090,2020-02-03T14:59:06.646Z,Apple,M,請問大家都哪裡買五星梅花起子呀？,"今天去了光華某家電子材料行

希望買到可以拆macbook pro 的背蓋的梅花起子

但結果他明明就是畫T5的一顆五角星星

回家以後才發現是六角星形起子＝＝

真的覺得很北七

但是好像在當場看半天也沒有看到五角梅花起子啊

有任何大大在台北有買到過的經驗可以分享嗎謝謝","['diy', '起子', '梅花', 'macbook', '累']",7,0,今天去了光華某家電子材料行希望買到可以拆的背蓋的梅花起子但結果他明明就是畫的一顆五角星星回家以後才發現是六角星形起子真的覺得很北七但是好像在當場看半天也沒有看到五角梅花起子啊有任何大大在台北有買到過的經驗可以分享嗎謝謝
233005085,2020-02-02T20:05:18.803Z,Apple,M,要換iphone11 還是等iphone12,"小弟菜味濃，若有錯誤麻煩多多包含😅😅
小弟目前用8 使用約兩年，操作上都還很順，沒什麼大問題。
只有電池續航力有明顯變差的感覺。
請問下面那種選擇會比較適合
1.換11
2.回原廠換個電池，然後等12上市再入手

因為聽說今年9月會發表iPhone 12，而且也會出4g版本的（不知道這個消息是否正確？）
畢竟5g要普及全台應該也沒那麼快，相較之下，4g現在也比較成熟了。
而且就算有5g，那資費也是不便宜吧

順便再請教一下，如果9月真的發表了12，那能夠入手的時間點大概是什麼時候？","['iPhone', '手機', '詢問', '問題', 'Apple']",33,8,小弟菜味濃若有錯誤麻煩多多包含小弟目前用使用約兩年操作上都還很順沒什麼大問題只有電池續航力有明顯變差的感覺請問下面那種選擇會比較適合換回原廠換個電池然後等上市再入手因為聽說今年月會發表而且也會出版本的不知道這個消息是否正確畢竟要普及全台應該也沒那麼快相較之下現在也比較成熟了而且就算有那資費也是不便宜吧順便再請教一下如果月真的發表了那能夠入手的時間點大概是什麼時候
233008802,2020-02-03T11:59:04.051Z,Apple,F,Iphone11超廣角很不清楚,"發現用超廣角拍照會糊糊的耶
就是畫質沒有很好
但有時候又沒那麼糊的感覺
是正常的嗎🤔",[],8,0,發現用超廣角拍照會糊糊的耶就是畫質沒有很好但有時候又沒那麼糊的感覺是正常的嗎
233011635,2020-02-03T18:27:46.850Z,Apple,M,簡訊問題 求救😭,"我想請問為什麼我的IPhone會有漏接收的簡訊，可是MacBook上卻有顯示
這是否代表我傳給對方的，對方沒收到
因為macbook同步上面有些我傳送的 沒有同步到
就是 對方傳給我的我手機沒顯示 電腦有出現
我傳給對方的 手機有顯示，電腦沒出現

請問這樣對方是有看到我的SMS簡訊嗎",['簡訊'],1,0,我想請問為什麼我的會有漏接收的簡訊可是上卻有顯示這是否代表我傳給對方的對方沒收到因為同步上面有些我傳送的沒有同步到就是對方傳給我的我手機沒顯示電腦有出現我傳給對方的手機有顯示電腦沒出現請問這樣對方是有看到我的簡訊嗎
233010788,2020-02-03T16:16:34.066Z,Apple,M,casetify airpods保護殼,"今天剛收到這個保護殼
但裡面有附一張四個圓圈的貼紙
有人知道這個的用途嗎
https://megapx-assets.dcard.tw/images/80f8394b-7c9a-4d6d-81c5-1271ee092481/1280.jpeg","['Apple', 'Airpods', 'Casetify']",0,0,今天剛收到這個保護殼但裡面有附一張四個圓圈的貼紙有人知道這個的用途嗎
233010337,2020-02-03T15:26:14.453Z,Apple,F,iPhone 使用時掉電量🔋,"目前服役為i8+
之前在使用時都覺得掉電量還好 
但是最近在回訊息時 明顯感覺蓄電不如以往(電池健康度95%)
平常就回ig和line訊息而已 沒有玩遊戲的習慣
附上電量圖
如圖
https://i.imgur.com/xZ2pZf2.jpg
⬆️這是我使用的電量狀況

⬇️然後這是我朋友的
https://i.imgur.com/vEi3gre.jpg

這個對比

如果換算下來的話大概三分鐘就掉1%的電
想請問各位廣大的網友們
這樣到底是正常還是不正常啊？需要送修嗎？(在保固期內)
還是說充電時間也有影響？
我都大概充兩個半小時到100%就拔起來了
麻煩各位了🥺","['電量', 'Apple', 'iPhone', 'iOS', '3c']",21,2,目前服役為之前在使用時都覺得掉電量還好但是最近在回訊息時明顯感覺蓄電不如以往電池健康度平常就回和訊息而已沒有玩遊戲的習慣附上電量圖如圖這是我使用的電量狀況然後這是我朋友的這個對比如果換算下來的話大概三分鐘就掉的電想請問各位廣大的網友們這樣到底是正常還是不正常啊需要送修嗎在保固期內還是說充電時間也有影響我都大概充兩個半小時到就拔起來了麻煩各位了
233004305,2020-02-02T17:00:13.145Z,Apple,F,#請益 照片出現紅點需更換鏡頭嗎？,"https://megapx-assets.dcard.tw/images/6be91c6f-661a-4581-a9b8-ae93d3906c84/1280.jpeg
從去年10月多就發現使用前鏡頭時照片會有紅點
放大後如圖看起來是碎片的樣子？
請問這是鏡頭壞掉嗎ಥ_ಥ
一直沒有送修是怕維修時間過長沒手機使用不方便
目前手機是xr還在保固期內
但蘋果的官網沒有維修鏡頭的價格
爬很多文看到有人說原廠維修鏡頭不如直接換新機
想請問大家會建議送原廠還是外面維修呢？","['紅點', '鏡頭', 'Apple', 'iPhone', 'xr']",4,1,從去年月多就發現使用前鏡頭時照片會有紅點放大後如圖看起來是碎片的樣子請問這是鏡頭壞掉嗎一直沒有送修是怕維修時間過長沒手機使用不方便目前手機是還在保固期內但蘋果的官網沒有維修鏡頭的價格爬很多文看到有人說原廠維修鏡頭不如直接換新機想請問大家會建議送原廠還是外面維修呢
